State,Number of Farms,Average Size (Acres),Total Acres
Alabama,223220,92.7,20692494.0
Alaska,12,13.2,158.39999999999998
Arizona,5809,383.2,2226008.8
Arkansas,178694,93.1,16636411.399999999
California,72542,807.4,58570410.8
Colorado,24700,883.6,21824920.0
Connecticut,26948,85.8,2312138.4
Delaware,9687,110.1,1066538.7
District of Columbia,269,81.6,21950.399999999998
Florida,40814,106.9,4363016.600000001
Georgia,224691,91.6,20581695.599999998
Hawaii,2273,1148.1,2609631.3
Idaho,17471,183.4,3204181.4
Illinois,264151,124.2,32807554.2
Indiana,221897,97.4,21612767.8
Indian Territory,45505,159.7,7267148.499999999
Iowa,228622,151.2,34567646.4
Kansas,173098,240.7,41664688.6
Kentucky,234667,93.7,21988297.900000002
Louisiana,115969,95.4,11063442.600000001
Maine,59299,106.2,6297553.8
Maryland,46012,112.4,5171748.8
Massachusetts,37165,83.6,3106994.0
Michigan,203261,86.4,17561750.400000002
Minnesota,154659,169.7,26245632.299999997
Mississippi,220803,82.6,18238327.799999997
Missouri,284886,119.3,33986899.8
Montana,13870,885.9,12287433.0
Nebraska,121525,246.1,29907302.5
Nevada,2184,1174.7,2565544.8000000003
New Hampshire,29324,123.1,3609784.4
New Jersey,84650,82.0,6941300.0
New Mexico,12811,418.6,5362684.600000001
New York,226720,99.9,22649328.0
North Carolina,224637,101.3,22755728.099999998
North Dakota,45382,842.9,38252487.8
Ohio,276719,88.5,24489631.5
Oklahoma,62495,251.6,15723742.0
Oregon,85887,281.0,24134247.0
Pennsylvania,224248,86.4,19375027.200000003
Rhode Island,5498,82.9,455784.2
South Carolina,155355,90.0,13981950.0
South Dakota,52622,362.4,19070212.799999997
Tennessee,224623,90.6,20350843.799999997
Texas,852190,357.2,304402268.0
Utah,19387,212.4,4117798.8000000003
Vermont,33104,142.7,4723940.8
Virginia,167886,118.6,19911279.599999998
Washington,83022,256.0,21253632.0
West Virginia,92874,114.7,10652647.8
Wisconsin,169795,117.0,19866015.0
Wyoming,6095,1383.0,8429385.0
